date,value,month_no
1991-07-01,3.5265910000000003,7
1991-08-01,3.180891,8
1991-09-01,3.252221,9
1991-10-01,3.6110029999999997,10
1991-11-01,3.565869,11
1991-12-01,4.3063709999999995,12
1992-01-01,5.088335,1
1992-02-01,2.81452,2
1992-03-01,2.985811,3
1992-04-01,3.20478,4
1992-05-01,3.1275779999999997,5
1992-06-01,3.270523,6
1992-07-01,3.73785082,7
1992-08-01,3.55877609,8
1992-09-01,3.77720173,9
1992-10-01,3.92449042,10
1992-11-01,4.38653092,11
1992-12-01,5.81054917,12
1993-01-01,6.19206769,1
1993-02-01,3.45085699,2
1993-03-01,3.77230686,3
1993-04-01,3.7343029000000003,4
1993-05-01,3.90539892,5
1993-06-01,4.04968714,6
1993-07-01,4.31556552,7
1993-08-01,4.56218455,8
1993-09-01,4.60866203,9
1993-10-01,4.66785129,10
1993-11-01,5.09384145,11
1993-12-01,7.1799622,12
1994-01-01,,1
1994-02-01,3.84127758,2
1994-03-01,4.39407557,3
1994-04-01,4.07534073,4
1994-05-01,4.5406449,5
1994-06-01,4.64561508,6
1994-07-01,4.75260653,7
1994-08-01,5.35060467,8
1994-09-01,5.20445484,9
1994-10-01,5.3016513,10
1994-11-01,5.77374216,11
1994-12-01,6.20459348,12
1995-01-01,6.74948382,1
1995-02-01,4.21606735,2
1995-03-01,4.94934946,3
1995-04-01,4.8230449,4
1995-05-01,5.19475419,5
1995-06-01,5.17078711,6
1995-07-01,5.25674157,7
1995-08-01,5.85527729,8
1995-09-01,5.49072901,9
1995-10-01,6.11529323,10
1995-11-01,6.08847284,11
1995-12-01,7.41659792,12
1996-01-01,8.32945212,1
1996-02-01,5.06979585,2
1996-03-01,5.26255667,3
1996-04-01,5.59712628,4
1996-05-01,6.110296,5
1996-06-01,5.68916084,6
1996-07-01,6.48684933,7
1996-08-01,6.30056933,8
1996-09-01,6.46747574,9
1996-10-01,6.82862939,10
1996-11-01,6.64907826,11
1996-12-01,8.60693721,12
1997-01-01,8.52447101,1
1997-02-01,5.27791837,2
1997-03-01,5.71430345,3
1997-04-01,6.21452908,4
1997-05-01,6.41192919,5
1997-06-01,6.66771564,6
1997-07-01,7.05083102,7
1997-08-01,6.70491861,8
1997-09-01,7.25098761,9
1997-10-01,7.81973318,10
1997-11-01,7.39810106,11
1997-12-01,10.09623339,12
1998-01-01,8.79851303,1
1998-02-01,5.91826076,2
1998-03-01,,3
1998-04-01,6.67573561,4
1998-05-01,7.06420058,5
1998-06-01,7.38338118,6
1998-07-01,7.81349587,7
1998-08-01,7.43189221,8
1998-09-01,8.27511722,9
1998-10-01,8.26044138,10
1998-11-01,8.59615575,11
1998-12-01,10.55893902,12
1999-01-01,10.3914156,1
1999-02-01,6.42153456,2
1999-03-01,8.06261937,3
1999-04-01,7.2977391,4
1999-05-01,7.93691594,5
1999-06-01,8.16532298,6
1999-07-01,8.71742046,7
1999-08-01,9.07096378,8
